University,ID,Group,Flex,5hr,Distract,Ailment,Comfort_1,ScienceCareer,ResearchCareer,MS,PhD,SOB_1,SOB_2,SOB_3,SOB_4,ComfortLevel_1,ComfortLevel_2,ComfortLevel_3,ComfortLevel_4,ComfortLevel_5,ComfortLevel_6,SOB-activities_1,SOB-activities_2,SOB-activities_3,SOB-activities_4,SOB-activities_5,SOB-activities_6,SOB-activities_7,Support,Skills,Support-Comms,CareerValue,Recommend
Chapman,571170,1,2,1,2,2,4,5,5,2,3,4,4,5,5,5,5,5,5,3,3,1,4,2,3,5,7,6,"1,2,5,6,7,8","1,2,3,4,9,6,7",4,equal,computer
Chapman,341979,1,1,1,1,1,4,5,4,4,1,4,4,4,4,4,3,4,4,4,4,6,4,5,2,1,3,7,"1,2,5,6,7,8","1,2,3,4,9,5,6,7",2,equal,computer
Chapman,832107,1,1,2,1,1,4,5,2,1,5,4,4,4,4,4,3,4,3,5,5,6,1,5,7,3,2,4,1,"1,2,3,4,9,6,7",2,field,field
Chapman,249349,2,1,1,1,2,4,3,3,3,3,5,5,5,5,4,4,4,4,4,4,2,3,1,6,7,5,4,"1,2,5,6,7,8","1,2,3,4,9,5,6,7",3,,
Chapman,532344,2,1,2,2,2,3,4,1,4,2,4,4,4,3,4,4,4,4,4,4,5,4,7,6,3,1,2,"1,6","1,2,3,4,9,5,6,7",2,computer,computer
Chapman,691747,2,1,2,2,1,3,4,4,4,1,4,5,3,3,4,2,4,4,4,4,3,5,6,4,2,1,7,"1,2,7,8","1,2,3,9,7",2,computer,computer
Chapman,115057,1,1,2,2,2,3,2,4,3,3,4,5,4,4,4,3,4,4,4,4,6,2,3,5,1,7,4,"1,7,8","1,2,3,4,9,6,7",2,computer,field
Chapman,675781,2,3,2,2,1,4,5,2,2,2,4,4,3,2,4,4,3,1,4,2,7,6,4,3,1,2,5,"1,2,5,6,7,8","1,2,3,4,9,5,6,7",7,computer,computer
Chapman,227726,2,1,2,2,2,3,5,2,2,1,5,5,5,4,4,4,4,5,4,5,7,1,5,4,2,3,6,"1,8","1,2,3,4,5,7",2,computer,depends
Chapman,810231,2,1,2,2,2,4,4,5,4,5,4,4,4,4,4,3,4,2,1,4,6,3,7,4,2,5,1,"1,5","1,3,4,9,7",2,equal,field
Chapman,479637,1,1,1,1,1,2,3,5,3,5,5,5,5,4,4,3,4,4,2,4,4,6,3,1,5,7,2,1,"1,2,6,7",2,equal,computer
Chapman,600544,1,2,1,1,2,3,5,5,4,1,4,5,4,5,5,3,3,4,4,5,7,1,6,5,3,2,4,"1,6,8,9","1,2,3,4,9,6,7",2,equal,field
Chapman,514855,2,2,1,1,2,4,2,4,2,2,3,5,3,4,5,4,4,3,3,3,7,2,4,5,1,6,3,"1,2,8","1,2,6,7",3,equal,computer
Chapman,688023,2,1,1,2,2,5,4,2,3,3,4,5,5,4,5,4,4,4,4,4,4,1,6,7,2,5,3,"1,2,5,6,7,8","1,2,3,4,9,5,6,7",3,equal,field
Chapman,588709,2,1,2,1,2,4,4,3,4,1,5,5,5,4,5,4,5,4,4,5,6,4,7,3,2,5,1,"1,2,6,7,8","1,2,9,5,7",3,equal,computer
Chapman,388931,2,1,2,2,1,2,3,4,2,3,3,5,3,3,4,2,4,4,4,5,4,1,5,6,7,2,3,"1,9","1,2,5,7",1,equal,equal
Chapman,551568,1,2,1,1,1,3,4,4,3,3,4,4,4,4,4,4,4,5,4,4,5,6,7,4,1,2,3,7,"1,2,3,4,9",2,equal,equal
Chapman,231316,2,1,2,2,2,5,5,5,2,2,5,5,5,4,4,4,4,4,4,4,6,1,5,3,4,7,2,"1,2,7,8","1,2,3,4,9,5,6,7",2,not_equal,depends
Davis,333333,1,1,1,1,1,5,4,4,2,2,5,5,5,5,5,5,5,5,5,5,4,1,6,3,7,2,5,"1,2,5,3,4","1,2",,,
Davis,424293,1,1,2,2,2,5,3,2,3,4,3,4,4,3,4,3,3,3,3,3,2,1,5,6,7,3,4,"1,2,3,4","1,2",,equal,field
Davis,908500,1,1,2,2,1,3,5,5,2,6,5,5,5,5,5,2,5,5,3,5,7,1,6,4,5,2,3,"1,6,3","1,2,4,5,6,7",2,equal,equal
Davis,914914952,1,1,1,1,2,5,5,4,1,3,5,5,5,5,3,1,4,4,4,3,7,1,6,5,2,3,4,"1,2,6,8,3","1,2,3,6",1,field,field
Davis,200300,2,1,2,2,2,4,5,5,2,3,3,5,3,5,4,2,4,3,4,4,7,1,6,5,2,3,4,"1,8","1,2,6",2,field,field
Davis,96161,1,2,2,1,1,2,5,4,2,4,4,5,5,4,5,3,3,4,4,4,7,2,4,5,3,1,6,"1,2,6","1,2,4,5,6,7",1,field,field
Davis,618907,2,1,2,2,1,4,5,5,1,1,5,5,5,5,5,5,5,5,4,5,6,1,5,4,3,2,7,1,"2,7",2,field,equal
Davis,112606,2,1,2,2,2,3,5,4,1,2,3,3,2,4,5,3,4,4,5,4,6,1,7,5,3,2,4,"1,6","1,2,4,5",6,field,equal
Davis,122104,2,1,2,1,2,4,4,4,2,3,4,4,3,4,4,1,3,3,3,3,5,1,6,7,3,2,4,1,"2,4,5,7",2,field,field
Davis,12099,1,1,2,1,1,4,4,2,2,5,4,4,4,3,2,2,4,4,2,4,4,3,5,2,6,7,1,"1,6","1,2,6",3,equal,equal
Davis,41577,2,2,2,1,2,4,5,5,1,2,5,5,5,5,5,4,5,5,5,4,7,1,5,6,3,2,4,"1,6","2,3,4,5,6,7",2,field,field
Davis,246677,1,2,2,1,1,3,4,2,2,5,3,3,2,3,2,2,3,3,3,4,6,1,5,7,4,3,2,"1,6,8","1,2,7",3,field,field
Davis,512111,2,1,2,1,1,3,5,4,1,3,3,3,3,4,5,1,5,5,5,5,2,3,5,4,6,7,1,1,2,3,field,field
Davis,223510,1,1,2,1,1,4,5,2,2,4,3,5,2,4,5,2,4,5,5,3,7,2,6,5,4,1,3,"1,2","1,2,4,5,6,7",6,equal,computer
Davis,31263,2,1,2,2,1,4,5,4,2,2,2,3,2,3,4,3,3,3,2,3,7,1,4,3,2,6,5,"1,6,8","2,4,7",3,field,
Davis,92801,1,1,1,2,2,5,5,4,1,1,4,5,4,5,5,3,5,4,5,5,7,2,6,4,5,1,3,"1,5,6","1,2,3,4,5,6,7",6,field,field