University,ID,Year,Major,Transfer,PriorResearch,Microscopy,Inverts,Units,Non-school,Household,PC,Hardware,Workspace,ScienceCareer,ResearchCareer,MS,PhD,SOB_1,SOB_2,SOB_3,SOB_4,SOB-activities_1,SOB-activities_2,SOB-activities_3,SOB-activities_4,SOB-activities_5,SOB-activities_6,SOB-activities_7,Skills,SkillValue,CareerValue,Recommend
Chapman,249349,4,1,2,1,1,3,2,4,3,1,2,1,4,2,2,2,5,5,5,5,6,4,1,5,2,7,3,"2,3,5,6,7",2,,
Chapman,675781,3,1,3,2,1,1,6,3,3,5,4,1,5,2,4,1,4,4,4,3,7,4,6,5,2,3,1,"3,4,9,5,6,7",2,equal,
Chapman,341979,3,1,3,2,1,1,1,4,6,1,4,1,5,4,2,2,5,5,4,4,7,4,6,5,1,2,3,"1,2,3,4,9,5,6,7",1,field,
Chapman,688023,3,"1,8",3,2,1,3,4,2,4,1,4,1,3,2,2,5,4,5,4,4,5,1,7,6,4,3,2,"1,3,4,9,5,6,7",1,field,field
Chapman,2340477,3,"1,4",3,1,3,1,6,5,1,1,2,1,4,2,4,3,3,4,3,3,3,1,4,7,2,5,6,"3,6,7",2,computer,computer
Chapman,231316,3,"1,3",3,1,1,1,4,5,4,1,4,1,5,4,5,2,4,5,5,3,7,4,6,2,3,5,1,"1,2,4,9,5,6,7",1,not_equal,field
Chapman,571170,4,5,3,2,1,1,5,2,6,1,2,1,4,5,3,3,4,4,3,4,7,2,3,6,5,4,1,"1,2,3,4,9,5,6,7",2,equal,computer
Chapman,691747,4,1,3,1,1,3,1,1,1,5,4,1,5,2,3,1,2,4,2,2,6,5,4,3,2,1,7,"1,2,3,4,9,5,6,7",1,equal,computer
Chapman,832107,3,5,3,1,3,1,6,3,4,5,4,1,5,2,2,5,4,5,5,4,7,4,5,6,2,3,1,"1,2,4,9,5",1,field,field
Chapman,532344,2,"1,4",3,2,3,1,8,4,3,1,4,2,5,2,2,2,4,4,2,2,5,4,6,7,2,1,3,"1,2,3,4,9,6,7",1,not_equal,field
Chapman,810231,4,2,3,1,2,1,7,3,1,5,1,1,5,5,4,5,5,5,5,4,7,4,5,6,2,3,1,"1,2,4,5,7",1,not_equal,field
Chapman,588709,4,1,3,1,1,3,1,6,5,1,4,1,5,4,3,3,4,5,5,4,4,6,5,7,2,1,3,"1,4,5,7,8",1,equal,field
Chapman,388931,3,"1,4",3,2,3,1,7,2,2,1,1,2,4,4,3,3,3,4,2,3,7,1,4,5,6,2,3,"1,2,4,5,7",1,not_equal,depends
Chapman,479637,4,"2,8",3,1,3,3,4,2,2,1,4,1,3,5,5,5,3,4,5,4,5,4,3,2,6,7,1,"1,2,5,6,7",1,equal,field
Chapman,361554,4,3,1,1,1,3,5,2,3,1,4,2,4,2,1,1,3,4,2,3,6,5,2,7,4,3,1,"1,2,3,4,9,7",1,equal,field
Chapman,514855,2,1,2,2,3,1,8,2,4,1,4,1,4,5,4,2,3,5,3,5,6,3,4,7,1,5,2,"1,2,3,4,9,5,6,7",2,equal,computer
Chapman,227726,3,1,3,2,1,3,5,3,4,5,4,2,5,4,5,2,5,5,5,3,6,2,5,7,3,1,4,"1,2,3,4,9,5,6,7",2,equal,depends
Chapman,522706,3,1,3,1,1,1,5,3,4,5,4,1,3,5,4,4,5,5,4,5,7,3,6,5,1,2,4,"1,2,3,4,9,5,6,7",1,field,field
Chapman,115057,3,1,3,1,3,1,5,3,4,1,4,1,2,4,4,4,3,5,4,4,5,3,4,6,2,7,1,"1,2,3,6,7",1,field,field
Chapman,551568,2,1,3,2,3,1,4,3,2,1,2,1,2,4,4,4,4,4,4,5,5,1,3,4,6,7,2,"1,2,3,4,9,5,6",1,equal,field
Davis,196995,4,2,1,2,1,1,3,3,4,1,4,1,5,6,2,4,4,5,5,5,7,1,6,5,4,2,3,"1,2,3,4,5,6,7",1,field,depends
Davis,914914952,4,3,3,1,3,1,4,3,3,1,4,1,5,4,2,4,3,5,2,4,,,,,,,,"1,2,5,6,7",1,field,equal
Davis,456327,2,3,3,2,1,3,2,1,5,1,2,1,4,6,6,6,2,5,1,4,6,1,2,7,3,4,5,"1,2,3,4,5,6,7",1,equal,field
Davis,424293,2,2,3,2,1,3,3,1,5,1,1,1,2,3,3,3,3,4,2,2,5,1,7,3,2,6,4,"1,2,3,4,5,7",2,equal,field
Davis,916072410,3,2,3,2,1,2,6,4,4,1,1,1,4,4,2,3,2,4,2,4,,,,,,,,"1,2,3,4,5,6,7",1,not_equal,field
Davis,505120,3,3,3,1,1,1,9,2,3,1,2,1,5,4,4,6,3,4,3,5,6,1,7,4,3,2,5,"2,3,5,6,7",1,field,field
Davis,178827,2,4,3,2,3,1,5,3,6,1,4,1,5,4,4,4,3,5,2,3,7,1,6,5,3,2,4,"1,2,3,4,5,6,7",1,field,field
Davis,612497,4,2,3,2,2,2,6,2,4,1,4,1,5,4,1,2,4,4,4,3,7,2,6,3,5,1,4,"1,2,4,5,6,7",2,field,field
Davis,333333,4,4,1,1,1,3,2,2,4,1,3,1,4,4,2,2,3,3,3,3,,,,,,,,3,1,,
Davis,908500,4,2,3,1,1,1,8,3,2,1,4,1,1,1,1,6,5,5,4,3,2,3,6,7,4,1,5,"1,2,3,4,5,6,7",1,equal,
Davis,92801,2,3,3,1,1,1,9,2,3,1,4,3,5,5,2,2,1,5,3,4,5,1,3,6,7,4,2,"1,2,3,4,5,6,7",1,field,equal
Davis,112606,4,4,3,2,1,3,6,2,5,1,3,1,5,4,2,2,3,2,1,2,5,1,6,7,3,2,4,"1,2,3,4,5,6,7",1,field,field
Davis,512111,4,7,3,1,1,1,4,3,2,1,4,1,5,4,1,6,3,5,3,4,2,1,3,4,6,7,5,"2,4,5,6,7",1,field,field
Davis,223510,3,3,3,1,1,3,6,2,5,1,2,1,5,6,1,6,3,5,2,5,5,1,6,4,7,3,2,"1,2,3,4,5,6,7",1,field,field
Davis,41577,3,7,3,2,1,1,5,2,2,1,1,1,5,4,1,2,5,5,5,5,5,1,7,6,3,4,2,"2,3,4,5,6,7",2,equal,computer
Davis,12099,4,3,1,1,1,1,1,4,3,1,4,1,5,2,2,2,3,3,4,4,2,1,6,3,7,5,4,"1,2,3,4,5,6",1,equal,depends
Davis,96161,4,3,2,2,1,3,2,3,3,1,1,1,5,3,2,3,3,5,3,4,7,3,5,6,4,1,2,"1,2,3,4,5,6,7",1,field,field
Davis,618907,4,1,3,1,1,1,7,4,2,1,2,1,5,5,1,2,5,5,5,5,3,4,5,6,2,1,7,"1,2,4,5,7",1,field,field
Davis,246677,4,4,1,2,1,1,1,3,2,1,4,2,4,2,2,4,2,3,2,4,3,1,4,2,6,7,5,"1,2,3,4,5,6,7",1,field,depends
Davis,650327,4,4,3,2,1,1,2,2,2,1,2,1,5,5,3,3,4,5,3,4,5,3,6,7,2,1,4,"1,2,3,4,5,6,7",1,field,field
Davis,31263,3,7,1,2,1,3,4,3,5,1,2,1,5,4,4,4,2,4,1,4,3,1,5,2,6,7,4,"2,3,5,6,7",1,field,field
Davis,81818,2,"7,6",3,2,1,1,6,3,3,1,4,2,4,4,2,6,3,5,3,4,7,1,6,5,2,3,4,"2,4,6,7",1,field,field
Davis,122104,3,7,3,2,1,1,4,3,3,1,4,1,4,4,2,6,4,4,3,4,7,4,5,6,2,1,3,"1,2,4,5,7",1,field,field